Team, precision_1st, precision_2nd, precision_5th, precision_20th, AUPR, AUROC
Team 106, 1.000000, 1.000000, 1.000000, 0.800000, 0.721037, 0.847516
Team 114, 1.000000, 0.666667, 0.625000, 0.408163, 0.385721, 0.631626
Team 122, 0.111111, 0.066667, 0.100000, 0.206186, 0.204881, 0.391606
Team 54, 0.333333, 0.500000, 0.384615, 0.454545, 0.401681, 0.718778
Team 58, 0.043478, 0.058824, 0.092593, 0.162602, 0.177554, 0.276216
Team 70, 0.500000, 0.666667, 0.454545, 0.271528, 0.314157, 0.524772
Team 71, 0.090909, 0.133333, 0.208333, 0.263158, 0.248240, 0.499679
Team 84, 1.000000, 1.000000, 1.000000, 0.666667, 0.675062, 0.834553
Team 91, 1.000000, 1.000000, 0.454545, 0.298507, 0.330646, 0.538442
Team 95, 1.000000, 0.400000, 0.555556, 0.238095, 0.292633, 0.461173
