Team, Challenge,1st,2nd,5th,20th,AUPR, AUC
Team70,4_01,1.000000,1.000000,1.000000,1.000000,0.596721,0.829266
Team80,4_01,0.142857,0.181818,0.045045,0.059524,0.070330,0.459704
Team81,4_02,0.020000,0.025736,0.032928,0.038276,0.038345,0.493948
Team115,4_02,1.000000,0.181818,0.263158,0.183486,0.129016,0.722173
Team84,4_02,0.500000,0.400000,0.135135,0.066890,0.057501,0.533111
Team86,4_02,1.000000,1.000000,0.625000,0.064516,0.094060,0.564624
Team42,4_02,0.500000,0.250000,0.357143,0.119570,0.084821,0.573023
Team58,4_02,0.500000,0.500000,0.416667,0.322581,0.203439,0.813151
Team70,4_02,0.018182,0.033333,0.037313,0.036529,0.037729,0.488375
Team64,4_04,0.021739,0.039216,0.064103,0.028893,0.030111,0.530440
Team115,4_04,0.012048,0.017699,0.029762,0.026076,0.026747,0.542363
Team107,4_04,0.100000,0.125000,0.250000,0.097087,0.069371,0.633117
Team42,4_04,0.125000,0.222222,0.263158,0.035411,0.058043,0.563772
Team58,4_04,1.000000,0.250000,0.227273,0.150376,0.136150,0.793459
Team118,4_04,1.000000,1.000000,0.625000,0.032154,0.093698,0.479040
Team70,4_04,0.029412,0.046512,0.023067,0.024541,0.024448,0.496497
Team56,4_04,0.333333,0.333333,0.131579,0.033970,0.049506,0.557634
Team64,4_06,0.012525,0.013729,0.014569,0.015029,0.014738,0.497099
Team115,4_06,0.004367,0.006667,0.009728,0.016488,0.014223,0.513200
Team107,4_06,0.333333,0.166667,0.192308,0.246914,0.140771,0.789832
Team42,4_06,0.076923,0.142857,0.028239,0.016097,0.024341,0.533977
Team58,4_06,0.500000,0.400000,0.357143,0.344828,0.286416,0.930444
Team118,4_06,0.019231,0.023256,0.013228,0.011853,0.012165,0.394798
Team70,4_06,0.040000,0.047619,0.015438,0.015146,0.015846,0.501966
Team56,4_06,0.250000,0.133333,0.119048,0.017545,0.034830,0.569740
Team70,4_07,0.142857,0.250000,0.121320,0.081528,0.084303,0.511436
Team80,4_07,0.333333,0.074074,0.102041,0.069204,0.080266,0.536187
Team81,4_08,0.038462,0.040000,0.039329,0.040176,0.039925,0.499160
Team115,4_08,1.000000,0.666667,0.714286,0.465116,0.256301,0.752656
Team84,4_08,1.000000,1.000000,1.000000,0.140845,0.154894,0.664944
Team86,4_08,0.500000,0.666667,0.555556,0.114943,0.113554,0.602744
Team58,4_08,1.000000,0.500000,0.119048,0.041408,0.058899,0.494417
Team70,4_08,0.142857,0.250000,0.077220,0.044906,0.048978,0.512806
Team64,4_10,0.017857,0.033333,0.056818,0.033889,0.033268,0.513942
Team115,4_10,0.076923,0.076923,0.047170,0.034305,0.037794,0.559560
Team107,4_10,1.000000,1.000000,0.625000,0.048512,0.131963,0.558554
Team58,4_10,0.047619,0.027027,0.035714,0.034188,0.035479,0.563417
Team70,4_10,0.024320,0.027309,0.029483,0.030705,0.030491,0.498104
Team56,4_10,0.500000,0.333333,0.555556,0.042506,0.080632,0.545149
Team64,4_12,0.007395,0.008318,0.008991,0.009371,0.008985,0.493820
Team115,4_12,0.005952,0.010256,0.011442,0.010147,0.009071,0.502696
Team107,4_12,1.000000,1.000000,0.019826,0.009598,0.143538,0.564322
Team58,4_12,0.250000,0.181818,0.078125,0.009737,0.034528,0.605131
Team70,4_12,1.000000,1.000000,0.020040,0.009600,0.144067,0.564859
Team56,4_12,1.000000,1.000000,0.020040,0.009600,0.144067,0.564859
Team58,4_14,1.000000,1.000000,1.000000,0.041841,0.106445,0.415590
Team64,4_16,0.100000,0.181818,0.116279,0.128205,0.062420,0.582223
Team56,4_16,0.031754,0.033343,0.034374,0.034914,0.034881,0.499546
Team56,4_18,0.018852,0.019214,0.019438,0.019552,0.019505,0.499702
