Cell_Type	Stimulus	Inhibitor	Time_of_Data_Acquisition	IL1b	IL4	IL6	IL8	IL10	IL15	GCSF	GMCSF	IP10	MCP1	MIP1a	MIP1b	PDGFbb	RANTES	VEGF	GROa	ICAM1	MIF	MIG	SDF1a
Normal	IFNg	MEKi	180	0	0	0	10085	0	0	0	0	8320.5	2552	0	0	26.5	0	390.7	628.7	1194	4614	10.7	13.7
Normal	TNFa	p38i	180	0	0	0	12659.5	2.5	0	0	0	3851	5091.2	4	611.7	54.7	0	1154.7	4008	2512.2	5929	8.5	149.2
Normal	IL1a	PI3Ki	180	0	0	0	25480.2	0	0	339.5	0	4798.7	13092.7	34.5	1159.7	14.5	248.2	1315.5	13719.7	4373	9849.5	17	643.5
Normal	IL6	IKKi	180	0	0	0	14435.7	0	0	0	0	3687.5	3159	0	0	14	0	1071	3997	1646.7	6152.7	32	117.7
Normal	IGFI	mTORi	180	0	0	1099	19029.7	0	0	0	0	5764.2	7161.5	0	171.2	73	0	801	2900	1795.5	7079.7	7	63.5
Normal	TGFa	GSK3i	180	0	0	0	23677.5	0	0	0	0	5314	3486.7	0	116.7	67.5	0	1480	2268.7	2688.5	8167	22.7	44
Normal	LPS	JNKi	180	0	0	0	11602.7	0	0	0	0	3259	2180.7	54.5	480.2	0	0	265	9430	5537.5	15038.2	95	288.2
Normal	IFNg	MEKi	1440	0	0	0	12694	0	0	0	0	27042.5	9474	0	259.7	84.5	83.5	1353.7	1072.7	2188.5	5110	3343.2	31.7
Normal	TNFa	p38i	1440	33	89.5	288.2	19656	27	670	10.5	345	18834	20825.2	98.5	2903.2	200.7	2509	2096.7	5279.5	4596.7	6277	45.5	201.7
Normal	IL1a	PI3Ki	1440	3.5	20	3462	28462.2	3	222.7	7546.5	222.2	10226.7	27506.7	782	8214.7	128.5	22952.2	2662.5	3953.2	1349.5	2986.5	4	148.5
Normal	IL6	IKKi	1440	1.7	0	182.5	22893.2	14	240.7	0	201	7088	16415.5	6.5	379.2	87	2.5	1835	525	1408.7	6751.2	21.5	18.7
Normal	IGFI	mTORi	1440	0	0	566	24766.7	0	13.5	10	184.2	12030.7	13662.5	6.2	699.7	76.5	3.7	3478.5	2612.5	2729.5	5456.7	31	89
Normal	TGFa	GSK3i	1440	0	0	0	28900.5	1.5	326.2	4.5	283.5	12260	19051.7	3.7	661.7	98.5	0	5280	5648.2	4389	10448.5	39.7	266
Normal	LPS	JNKi	1440	289.5	31.2	3318.5	29239.7	119.7	545.2	3111	274.7	21621.5	27415.7	9514.5	19525.2	66.2	17275.2	2429	10397	7260	6465.2	30	784.7
Cancer	IFNg	MEKi	180	0	0	0	23379	0	0	0	174.5	1274.5	177	0	18.7	56.5	0	13226.7	39.7	5742.5	1429.5	1.7	0
Cancer	TNFa	p38i	180	133	73.5	317.2	17347	38.5	713.5	101	272.5	285	417.2	50.5	125.2	87.2	68	12672.7	45	7618.7	2432	1.5	34.7
Cancer	IL1a	PI3Ki	180	19.5	0	0	29427.2	11	121.7	822.5	112.2	129.7	183.7	0	167.2	63.5	9.2	15572.5	3088.2	4157	1531	2	199.5
Cancer	IL6	IKKi	180	45.7	62.7	1428	22614.2	24	325.2	54	265	84.5	245.5	41.5	0	81	24	13310	9	4474.2	4025.7	2	22.7
Cancer	IGFI	mTORi	180	0	0	57	21784.7	9	0	9	100.7	3.7	0	0	0	42.5	11.7	11973	2	6105.5	4464.7	0	34.5
Cancer	TGFa	GSK3i	180	0	0	0	26151.5	1.5	0	23.5	98.5	0	75.7	0	0	9.5	140.5	18605	20.2	4134.5	1557	2.7	21
Cancer	LPS	JNKi	180	15.5	9.7	0	14868.2	34.7	100.2	13	267.2	63.5	151.7	14.5	58.2	41.2	46.7	14293	0	1712	843.2	1	0
Cancer	IFNg	MEKi	1440	0	0	0	8877	0	0	0	0	1203.5	180.5	0	0	33.5	0	10460.2	0	2467	644.5	0	0
Cancer	TNFa	p38i	1440	133	105.5	421.2	27139.5	32.5	779.5	117	378	284	327.2	45	158.7	95.2	177.5	14250.7	128	11301.2	1894	2.5	60.7
Cancer	IL1a	PI3Ki	1440	7	0	72	29960.2	16.5	21.2	3131.5	253.7	345.7	87.7	9	66.7	52	206.2	16652.5	5179.2	7305	1758.5	5	434.5
Cancer	IL6	IKKi	1440	30.7	29.7	1221.5	20435.7	35	192.7	83.5	237	45	238.5	29	0	57	0	8938	44	9367.7	3662.7	5	48.7
Cancer	IGFI	mTORi	1440	0	0	97	27113.7	9	209.5	23.5	365.7	74.7	101.5	12.2	90.2	44.5	40.7	19986	23	4758.5	1825.7	0	0
Cancer	TGFa	GSK3i	1440	0	0	0	28714	3	0	14.5	54	0	29.7	11.2	0	20.5	0	21051.5	61.2	11198	4413	4.2	33
Cancer	LPS	JNKi	1440	0	0	0	16555.7	22.7	150.2	7.5	307.7	40.5	78.2	0	0	24.7	0	16200	13.5	8548	1398.2	4	34.2
