Cell_Type	Stimulus	Inhibitor	Time_of_Data_Acquisition_[min]	AKT	ERK12	GSK3	Ikb	JNK12	p38	p70S6	p90RSK	STAT3	cJUN	CREB	HistH3	HSP27	IRS1s	MEK12	p53	STAT6
Normal	IFNg	MEKi	30	3632	174	1134	422	225	139	2409	122	37	15375	557	234	6285	515	15789	138	56
Normal	TNFa	p38i	30	5791	94	798	1053	336	124	5853	289	30	18732	720	235	2525	1100	2859	311	11
Normal	IL1a	PI3Ki	30	6702	851	2190	2306	811	606	10241	681	30	21411	1607	376	24087	2018	6817	485	21
Normal	IL6	IKKi	30	8774	1661	2005	161	364	342	8159	646	5375	18424	1108	236	21370	1536	6407	237	77
Normal	IGFI	mTORi	30	10532	151	1189	355	198	80	1496	191	25	15031	600	218	4320	576	2047	174	41
Normal	TGFa	GSK3i	30	10984	3228	2893	394	395	299	11616	1341	26	19775	1336	287	18933	2757	23748	286	56
Normal	LPS	JNKi	30	5551	241	501	1264	188	214	1999	131	21	12811	629	175	21250	423	1340	128	16
Normal	IFNg	MEKi	180	1913	131	1041	175	129	144	2440	114	47	12034	414	185	5266	601	10560	96	38
Normal	TNFa	p38i	180	4318	461	1669	1375	189	201	4936	247	45	18453	543	220	1795	897	2822	278	25
Normal	IL1a	PI3Ki	180	3798	240	1295	1154	195	334	5072	268	126	21387	771	258	17004	1091	3386	298	25
Normal	IL6	IKKi	180	5305	934	2083	67	238	662	7740	240	2604	15665	967	175	21885	1467	2276	225	9
Normal	IGFI	mTORi	180	5710	448	2427	247	105	171	1701	246	32	15600	521	233	6538	741	2412	144	34
Normal	TGFa	GSK3i	180	2893	4276	3945	624	109	282	8085	773	23	23317	698	193	9461	2055	19624	154	33
Normal	LPS	JNKi	180	3264	484	807	1888	21	285	2164	176	22	13949	594	145	17998	497	1781	101	0
Cancer	IFNg	MEKi	30	14181	45	1330	430	109	5	2708	70	119	3181	485	1081	588	1270	6448	708	35
Cancer	TNFa	p38i	30	15035	270	1950	3894	191	38	4857	364	108	9354	459	954	645	2088	5292	1007	25
Cancer	IL1a	PI3Ki	30	8232	510	1731	19782	3183	1347	18068	835	41	22463	3681	1225	10555	11172	11464	1293	51
Cancer	IL6	IKKi	30	12760	532	1688	240	109	28	5997	504	4919	2955	380	706	502	2107	7911	1109	27
Cancer	IGFI	mTORi	30	24418	290	4266	570	95	33	2752	341	73	4509	471	625	407	1414	6939	877	0
Cancer	TGFa	GSK3i	30	22125	1066	4250	652	155	141	18410	1580	32	9625	2783	919	467	8200	15427	760	19
Cancer	LPS	JNKi	30	8902	181	555	579	21	33	1292	217	39	1059	247	584	331	664	5993	450	0
Cancer	IFNg	MEKi	180	9973	403	2417	371	35	26	2514	48	83	1934	269	907	427	1721	11734	1222	14
Cancer	TNFa	p38i	180	10129	951	3101	4024	94	75	4643	400	140	9769	297	921	438	2093	6006	1261	0
Cancer	IL1a	PI3Ki	180	5960	1849	2897	5563	184	769	9582	634	652	18763	1083	847	573	3010	8792	924	4
Cancer	IL6	IKKi	180	9701	1471	3632	144	78	77	7766	479	1194	3434	316	809	352	2572	6586	1884	18
Cancer	IGFI	mTORi	180	23565	1328	7905	620	74	107	4782	573	113	6542	437	831	333	1880	10076	722	10
Cancer	TGFa	GSK3i	180	9527	2781	5395	2037	185	215	12787	975	722	21149	819	829	359	4925	15915	680	5
Cancer	LPS	JNKi	180	2418	725	797	359	0	17	361	184	64	397	90	290	189	779	5595	448	0
