Cell_Type	Stimulus	Inhibitor	Time_of_Data_Acquisition	IL1b	IL4	IL6	IL8	IL10	IL15	GCSF	GMCSF	IP10	MCP1	MIP1a	MIP1b	PDGFbb	RANTES	VEGF	GROa	ICAM1	MIF	MIG	SDF1a
Normal	IFNg	MEKi	180	0	0	0	21765.5	0	0	0	69.5	11373.5	10589.2	0	86.45	0	11.5	520.7	1786	3889	8150.45	13	35.7
Normal	TNFa	p38i	180	0	0	0	18436	0	0	0	161.25	4962.95	3637.75	0	126.7	92.2	16	1618.7	1169.7	633	6592.2	23	433.7
Normal	IL1a	PI3Ki	180	0	0	0	14101.5	4.75	0	0	0	6386.2	3018.75	0	126.7	115.7	0	662	3191.7	1804.2	14378.45	16.5	57.45
Normal	IL6	IKKi	180	0	1	0	13676	0	0	0	0	10006.5	5343.25	0	53.95	46.5	0	521.7	613.7	4536.2	8150.45	4.7	57.45
Normal	IGFI	mTORi	180	0	0	0	21765.5	0	0	0	0	5523.7	1815	0	69.7	33.95	0	988.2	1600.25	2653.7	6974	26.7	132.2
Normal	TGFa	GSK3i	180	0	0	0	16365	0	0	21.5	0	4962.95	4310	9	0	53.45	7.25	445	910.75	1334	4122.95	51.75	64.2
Normal	LPS	JNKi	180	0	32	0	16109.75	0	156	0	0	8718.5	3146	9.5	363.7	68.45	16	1391.25	1417.5	2360.7	4122.95	12	0
Normal	IFNg	MEKi	1440	21	0	119.7	14041	20.5	0	0	0	13911.5	7961.2	0	226.7	0	0	1282.25	2887.5	3056.7	14378.45	6.7	54.7
Normal	TNFa	p38i	1440	0	0	0	14769.75	0	156	6.5	302	3535.5	1815	0	45.2	93	0	529.2	748.7	1804.2	6473.45	0	50.2
Normal	IL1a	PI3Ki	1440	0	0	0	9495.5	4.75	0	0	0	2770	4432	0	0	20.7	44	643.5	910.75	3531.95	6307	16.5	0
Normal	IL6	IKKi	1440	0	0	0	16109.75	3.5	445	0	100	4207.45	1532.5	0	411.7	40.95	0	506.25	420.2	2238.7	6160.2	49.7	243.7
Normal	IGFI	mTORi	1440	2	0	0	18288	0	0	0	0	5722.95	1532.5	0	69.7	40.95	0	445	1728	1478.2	4769	53.5	23.2
Normal	TGFa	GSK3i	1440	0	1	0	14769.75	0	0	0	0	4207.45	1651.75	0	280.7	96.5	0	2058.7	1626.75	1582	4242	18.5	52.2
Normal	LPS	JNKi	1440	0	0	0	14255	0	0	0	161.25	7803.95	2754	0	86.45	53.45	0	1282.25	2211.25	1478.2	2597	51.75	37.2
Cancer	IFNg	MEKi	180	0	0	0	14101.5	0	0	0	246.5	11765	5118.2	0	1360.7	51	22.5	844.7	1728	1410.2	6160.2	3.7	59.2
Cancer	TNFa	p38i	180	0	0	0	23309	5.5	0	0	0	5670.5	3146	0	138.7	68.45	0	1281.75	1820	3056.7	3590	18.5	52.2
Cancer	IL1a	PI3Ki	180	0	0	138.2	11383	0	0	0	0	7803.95	3813.2	0	53.95	23.7	0	1281.75	2211.25	844.2	8698.2	15	59.2
Cancer	IL6	IKKi	180	0	0	0	13039.5	0	0	0	0	13724.5	3637.75	0	0	6.45	0	636.25	239.7	830.2	4574.45	28	26.2
Cancer	IGFI	mTORi	180	0	0	0	16837	14.75	0	0	0	3347	4433.7	0	363.7	20.7	0	291.7	1349	3441.7	4780	1.7	89.45
Cancer	TGFa	GSK3i	180	0	0	0	14255	0	0	0	0	4490	13470	0	0	33.95	22.5	1329.7	2887.5	4536.2	4574.45	13.5	26.2
Cancer	LPS	JNKi	180	0	0	0	9495.5	0	0	0	0	6830	1651.75	21.7	991.7	86.5	0	1445.7	754.7	2819.2	6473.45	15	0
Cancer	IFNg	MEKi	1440	0	0	0	22686.5	0	0	0	61	5523.7	2534	22.5	175.7	11.5	7.25	1391.25	1172.25	779	3455	32.5	132.2
Cancer	TNFa	p38i	1440	0	0	0	14425.5	0	0	0	0	6386.2	2174	0	0	23.7	0	506.25	1626.75	1004	6592.2	53.5	46.2
Cancer	IL1a	PI3Ki	1440	0	0	0	22776	0	262	0	0	3462.45	5343.25	0	474.7	57.7	2.5	662	1417.5	2360.7	8381	15.5	64.2
Cancer	IL6	IKKi	1440	0	0	0	14019.75	14.75	362	0	0	9506.7	3018.75	0	14.7	57.2	0	2720.7	1172.25	2653.7	4137	32.5	89.45
Cancer	IGFI	mTORi	1440	0	0	0	12250	0	0	28.5	0	5722.95	4587	0	1098.7	6.45	0	643.5	4965.5	3531.95	2606.5	13	37.2
Cancer	TGFa	GSK3i	1440	0	0	0	13039.5	0	0	0	36.5	9506.7	2754	9	45.2	175.5	0	714.2	1600.25	1410.2	7208	23	138.7
Cancer	LPS	JNKi	1440	19.5	0	2.2	14019.75	0	506	0	0	3462.45	7289	0	0	75.2	16	636.25	6431	292.5	8698.2	32.5	59.2
