Cell_Type	Stimulus	Inhibitor	Time_of_Data_Acquisition_[min]	AKT	ERK12	GSK3	Ikb	JNK12	p38	p70S6	p90RSK	STAT3	cJUN	CREB	HistH3	HSP27	IRS1s	MEK12	p53	STAT6
Normal	IFNg	MEKi	30	3861	280	905	1174	114	126	1576	196	26	17468	590	270	3861	280	905	1174	114
Normal	TNFa	p38i	30	6671	206	720	320	147	79	3041	202	80	9515	635	131	6671	206	720	320	147
Normal	IL1a	PI3Ki	30	7711	240	340	420	122	119	2570	206	28	10552	699	210	7711	240	340	420	122
Normal	IL6	IKKi	30	5485	261	957	402	176	214	1205	329	27	16719	510	175	5485	261	957	402	176
Normal	IGFI	mTORi	30	4720	78	517	417	185	76	2166	194	27	14886	501	269	4720	78	517	417	185
Normal	TGFa	GSK3i	30	7100	141	1188	322	154	173	3302	160	29	11058	671	182	7100	141	1188	322	154
Normal	LPS	JNKi	30	4269	280	383	440	253	140	5351	285	35	15455	1229	205	4269	280	383	440	253
Normal	IFNg	MEKi	180	5317	39	1004	144	319	82	1612	153	23	15779	604	254	5317	39	1004	144	319
Normal	TNFa	p38i	180	9772	102	384	449	117	90	3845	184	53	15991	531	254	9772	102	384	449	117
Normal	IL1a	PI3Ki	180	3336	115	945	318	349	118	3204	187	27	13595	596	267	3336	115	945	318	349
Normal	IL6	IKKi	180	2981	189	1611	133	340	133	2917	220	29	20152	799	240	2981	189	1611	133	340
Normal	IGFI	mTORi	180	5108	58	773	310	367	133	3616	238	26	15108	745	206	5108	58	773	310	367
Normal	TGFa	GSK3i	180	6402	78	601	315	209	189	5325	263	79	14875	600	204	6402	78	601	315	209
Normal	LPS	JNKi	180	6296	107	1319	375	216	243	4522	90	16	17492	955	194	6296	107	1319	375	216
Cancer	IFNg	MEKi	30	5942	372	1123	1067	192	129	4149	242	42	18123	569	175	5942	372	1123	1067	192
Cancer	TNFa	p38i	30	4544	275	950	391	363	161	3616	182	31	15476	588	210	4544	275	950	391	363
Cancer	IL1a	PI3Ki	30	9187	324	931	236	184	96	3027	129	50	18377	1013	178	9187	324	931	236	184
Cancer	IL6	IKKi	30	4409	212	1519	244	496	274	327	222	22	16525	483	211	4409	212	1519	244	496
Cancer	IGFI	mTORi	30	4011	226	888	885	159	144	7769	86	67	16125	988	210	4011	226	888	885	159
Cancer	TGFa	GSK3i	30	10549	128	804	1069	235	175	255	218	35	15650	640	200	10549	128	804	1069	235
Cancer	LPS	JNKi	30	2796	207	670	360	113	402	8392	79	19	19577	538	246	2796	207	670	360	113
Cancer	IFNg	MEKi	180	4268	160	1322	499	122	316	4844	165	46	15694	575	231	4268	160	1322	499	122
Cancer	TNFa	p38i	180	4215	219	1020	505	246	73	9475	441	35	18647	613	218	4215	219	1020	505	246
Cancer	IL1a	PI3Ki	180	4227	256	541	85	720	113	6289	100	29	17897	662	175	4227	256	541	85	720
Cancer	IL6	IKKi	180	3241	193	1130	269	220	516	5093	238	30	16917	550	269	3241	193	1130	269	220
Cancer	IGFI	mTORi	180	5578	136	1101	1393	175	265	128	217	34	18368	1003	208	5578	136	1101	1393	175
Cancer	TGFa	GSK3i	180	3632	266	769	435	165	101	4086	275	31	16591	545	267	3632	266	769	435	165
Cancer	LPS	JNKi	180	6862	89	549	363	172	223	3567	169	47	16279	732	246	6862	89	549	363	172
