Stimulus,Inhibitor,Time,AKT,ERK12,Ikb,JNK12,p38,HSP27,MEK12
IGF1,IKKi,0,7798,688,115,51,39,286,5230
IGF1,MEKi,0,11918,244,425,86,18,460,NaN
IGF1,None,0,8934,477,480,67,37,391,5369
IGF1,p38i,0,11324,418,498,91,NaN,420,5352
IGF1,PI3Ki,0,5203,505,487,59,43,350,6449
IL1a,IKKi,0,7798,688,115,51,39,286,5230
IL1a,MEKi,0,11918,244,425,86,18,460,NaN
IL1a,None,0,8934,477,480,67,37,391,5369
IL1a,p38i,0,11324,418,498,91,NaN,420,5352
IL1a,PI3Ki,0,5203,505,487,59,43,350,6449
TGFa,IKKi,0,7798,688,115,51,39,286,5230
TGFa,MEKi,0,11918,244,425,86,18,460,NaN
TGFa,None,0,8934,477,480,67,37,391,5369
TGFa,p38i,0,11324,418,498,91,NaN,420,5352
TGFa,PI3Ki,0,5203,505,487,59,43,350,6449
IGF1,IKKi,30,23939,406,247,123,34,473,6195
IGF1,MEKi,30,24202,120,486,126,38,620,NaN
IGF1,None,30,24720,206,556,229,77,489,6845
IGF1,p38i,30,24247,191,526,117,NaN,475,5268
IGF1,PI3Ki,30,13044,381,546,117,29,550,7662
IL1a,IKKi,30,8774,668,1216,2791,1229,7575,11421
IL1a,MEKi,30,13266,106,18519,2559,1207,9878,NaN
IL1a,None,30,9014,453,19518,2858,1660,11702,9952
IL1a,p38i,30,16157,377,17922,3045,NaN,866,9734
IL1a,PI3Ki,30,8232,510,19782,3183,1347,10555,11464
TGFa,IKKi,30,16045,1818,167,133,173,394,16032
TGFa,MEKi,30,24905,128,933,340,169,526,NaN
TGFa,None,30,23692,974,520,146,376,286,23367
TGFa,p38i,30,23161,1326,706,185,NaN,546,16460
TGFa,PI3Ki,30,8147,1390,558,161,157,528,16922
