Stimulus,Inhibitor,Time,AKT,ERK12,Ikb,JNK12,p38,HSP27,MEK12
None,MEKi+p38i,0,3858.75,145,169.25,114.75,NOT AVAILABLE,265,NOT AVAILABLE
None,MEKi+p38i,30,23173,156,182,132.5,NOT AVAILABLE,238.5,NOT AVAILABLE
IL1a,MEKi+p38i,0,3858.75,145,169.25,114.75,NOT AVAILABLE,265,NOT AVAILABLE
IL1a,MEKi+p38i,30,5488.5,165.5,3306,1519,NOT AVAILABLE,800.5,NOT AVAILABLE
IGF1,MEKi+p38i,0,3858.75,145,169.25,114.75,NOT AVAILABLE,265,NOT AVAILABLE
IGF1,MEKi+p38i,30,16332,156,182,109,NOT AVAILABLE,211,NOT AVAILABLE
Tga+IGF1,MEKi+p38i,0,3858.75,145,169.25,114.75,NOT AVAILABLE,265,NOT AVAILABLE
Tga+IGF1,MEKi+p38i,30,25452,270,227,179.5,NOT AVAILABLE,262,NOT AVAILABLE
None,MEKi+PI3Ki,0,547.75,162.5,158.25,126.5,40.5,238,NOT AVAILABLE
None,MEKi+PI3Ki,30,8466.5,173,264,173,77,339,NOT AVAILABLE
IL1a,MEKi+PI3Ki,0,547.75,162.5,158.25,126.5,40.5,238,NOT AVAILABLE
IL1a,MEKi+PI3Ki,30,623,184,6599,2097,2390.5,6004,NOT AVAILABLE
IGF1,MEKi+PI3Ki,0,547.75,162.5,158.25,126.5,40.5,238,NOT AVAILABLE
IGF1,MEKi+PI3Ki,30,12778,178,222,169.5,41,333,NOT AVAILABLE
Tga+IGF1,MEKi+PI3Ki,0,547.75,162.5,158.25,126.5,40.5,238,NOT AVAILABLE
Tga+IGF1,MEKi+PI3Ki,30,22061,167,163,151,101.5,252,NOT AVAILABLE
None,p38i+PI3Ki,0,326.25,393.5,202.25,130.75,NOT AVAILABLE,258.5,3275.75
None,p38i+PI3Ki,30,564.5,1605,222,144,NOT AVAILABLE,264.5,6747.5
IL1a,p38i+PI3Ki,0,326.25,393.5,202.25,130.75,NOT AVAILABLE,258.5,3275.75
IL1a,p38i+PI3Ki,30,321.5,861,4297,1934,NOT AVAILABLE,1061,5688.5
IGF1,p38i+PI3Ki,0,326.25,393.5,202.25,130.75,NOT AVAILABLE,258.5,3275.75
IGF1,p38i+PI3Ki,30,9005,427,178,146,NOT AVAILABLE,301.5,2734
Tga+IGF1,p38i+PI3Ki,0,326.25,393.5,202.25,130.75,NOT AVAILABLE,258.5,3275.75
Tga+IGF1,p38i+PI3Ki,30,10860,2468,211,175,NOT AVAILABLE,280,7590.5
None,p38i+Ikki,0,992,490.25,109.75,134.5,NOT AVAILABLE,223.75,3001.75
None,p38i+Ikki,30,3028,2867.5,124,162.5,NOT AVAILABLE,256,5708
IL1a,p38i+Ikki,0,992,490.25,109.75,134.5,NOT AVAILABLE,223.75,3001.75
IL1a,p38i+Ikki,30,1430,546.5,275,1039,NOT AVAILABLE,468.5,2371
IGF1,p38i+Ikki,0,992,490.25,109.75,134.5,NOT AVAILABLE,223.75,3001.75
IGF1,p38i+Ikki,30,20663.5,590,105,130,NOT AVAILABLE,204,3059
Tga+IGF1,p38i+Ikki,0,992,490.25,109.75,134.5,NOT AVAILABLE,223.75,3001.75
Tga+IGF1,p38i+Ikki,30,22271.5,2549,107.5,131,NOT AVAILABLE,215,7170
None,PI3Ki+IKKi,0,204.5,551.5,108,128,54,212.5,2765.5
None,PI3Ki+IKKi,30,183,1845,91.5,131,123,277,4897.5
IL1a,PI3Ki+IKKi,0,204.5,551.5,108,128,54,212.5,2765.5
IL1a,PI3Ki+IKKi,30,209,928,370,1836,1849,4935,3925
IGF1,PI3Ki+IKKi,0,204.5,551.5,108,128,54,212.5,2765.5
IGF1,PI3Ki+IKKi,30,1711,741,109,129,77,241,3248
Tga+IGF1,PI3Ki+IKKi,0,204.5,551.5,108,128,54,212.5,2765.5
Tga+IGF1,PI3Ki+IKKi,30,2496,3054,114,168,141,244,7635
