Stimulus,Inhibitor,Time,AKT,ERK12,Ikb,JNK12,p38,HSP27,MEK12
TGFa,MEKi+p38i,0,3858.75,145,169.25,114.75,NOT AVAILABLE,265,NOT AVAILABLE
TGFa,MEKi+p38i,30,3858.75,145,169.25,114.75,NOT AVAILABLE,265,NOT AVAILABLE
IL1a,MEKi+p38i,0,3858.75,145,169.25,114.75,NOT AVAILABLE,265,NOT AVAILABLE
IL1a,MEKi+p38i,30,3858.75,145,169.25,114.75,NOT AVAILABLE,265,NOT AVAILABLE
IGF1,MEKi+p38i,0,3858.75,145,169.25,114.75,NOT AVAILABLE,265,NOT AVAILABLE
IGF1,MEKi+p38i,30,3858.75,145,169.25,114.75,NOT AVAILABLE,265,NOT AVAILABLE
TGFa+IGF1,MEKi+p38i,0,3858.75,145,169.25,114.75,NOT AVAILABLE,265,NOT AVAILABLE
TGFa+IGF1,MEKi+p38i,30,3858.75,145,169.25,114.75,NOT AVAILABLE,265,NOT AVAILABLE
TGFa,MEKi+PI3Ki,0,547.75,162.5,158.25,126.5,40.5,238,NOT AVAILABLE
TGFa,MEKi+PI3Ki,30,547.75,162.5,158.25,126.5,77,265,NOT AVAILABLE
IL1a,MEKi+PI3Ki,0,547.75,162.5,158.25,126.5,40.5,238,NOT AVAILABLE
IL1a,MEKi+PI3Ki,30,547.75,162.5,158.25,126.5,2390.5,265,NOT AVAILABLE
IGF1,MEKi+PI3Ki,0,547.75,162.5,158.25,126.5,40.5,238,NOT AVAILABLE
IGF1,MEKi+PI3Ki,30,547.75,162.5,158.25,126.5,41,265,NOT AVAILABLE
TGFa+IGF1,MEKi+PI3Ki,0,547.75,162.5,158.25,126.5,40.5,238,NOT AVAILABLE
TGFa+IGF1,MEKi+PI3Ki,30,547.75,162.5,158.25,126.5,101.5,265,NOT AVAILABLE
TGFa,p38i+PI3Ki,0,326.25,393.5,202.25,130.75,NOT AVAILABLE,258.5,3275.75
TGFa,p38i+PI3Ki,30,326.25,393.5,202.25,130.75,NOT AVAILABLE,258.5,3275.75
IL1a,p38i+PI3Ki,0,326.25,393.5,202.25,130.75,NOT AVAILABLE,258.5,3275.75
IL1a,p38i+PI3Ki,30,326.25,393.5,202.25,130.75,NOT AVAILABLE,258.5,3275.75
IGF1,p38i+PI3Ki,0,326.25,393.5,202.25,130.75,NOT AVAILABLE,258.5,3275.75
IGF1,p38i+PI3Ki,30,326.25,393.5,202.25,130.75,NOT AVAILABLE,258.5,3275.75
TGFa+IGF1,p38i+PI3Ki,0,326.25,393.5,202.25,130.75,NOT AVAILABLE,258.5,3275.75
TGFa+IGF1,p38i+PI3Ki,30,326.25,393.5,202.25,130.75,NOT AVAILABLE,258.5,3275.75
TGFa,p38i+IKKi,0,992,490.25,109.75,134.5,NOT AVAILABLE,223.75,3001.75
TGFa,p38i+IKKi,30,992,490.25,109.75,134.5,NOT AVAILABLE,223.75,3001.75
IL1a,p38i+IKKi,0,992,490.25,109.75,134.5,NOT AVAILABLE,223.75,3001.75
IL1a,p38i+IKKi,30,992,490.25,109.75,134.5,NOT AVAILABLE,223.75,3001.75
IGF1,p38i+IKKi,0,992,490.25,109.75,134.5,NOT AVAILABLE,223.75,3001.75
IGF1,p38i+IKKi,30,992,490.25,109.75,134.5,NOT AVAILABLE,223.75,3001.75
TGFa+IGF1,p38i+IKKi,0,992,490.25,109.75,134.5,NOT AVAILABLE,223.75,3001.75
TGFa+IGF1,p38i+IKKi,30,992,490.25,109.75,134.5,NOT AVAILABLE,223.75,3001.75
TGFa,PI3Ki+IKKi,0,204.5,551.5,108,128,54,212.5,2765.5
TGFa,PI3Ki+IKKi,30,204.5,551.5,108,128,54,212.5,2765.5
IL1a,PI3Ki+IKKi,0,204.5,551.5,108,128,54,212.5,2765.5
IL1a,PI3Ki+IKKi,30,204.5,551.5,108,128,54,212.5,2765.5
IGF1,PI3Ki+IKKi,0,204.5,551.5,108,128,54,212.5,2765.5
IGF1,PI3Ki+IKKi,30,204.5,551.5,108,128,54,212.5,2765.5
TGFa+IGF1,PI3Ki+IKKi,0,204.5,551.5,108,128,54,212.5,2765.5
TGFa+IGF1,PI3Ki+IKKi,30,204.5,551.5,108,128,54,212.5,2765.5
