Pearson	Spearman	Pearson_Log	AUROC_probe	AUPR_probe	AUROC_8mer	AUPR_8mer
0.518	0.388	0.475	0.904	0.321	0.994	0.682
0.583	0.507	0.574	0.915	0.382	0.994	0.703
0.579	0.511	0.575	0.915	0.368	0.994	0.701
0.555	0.370	0.425	0.497	0.017	0.526	0.024
0.502	0.403	0.440	0.863	0.238	0.951	0.497
0.429	0.279	0.346	0.735	0.038	0.926	0.279
0.444	0.274	0.338	0.670	0.032	0.794	0.282
0.266	0.312	0.348	0.603	0.032	0.699	0.088
0.309	0.283	0.345	0.314	0.010	0.234	0.026
0.542	0.438	0.468	0.867	0.336	0.906	0.568
0.267	0.100	0.189	0.786	0.212	0.884	0.446
0.518	0.484	0.523	0.897	0.237	0.978	0.515
0.641	0.639	0.674	0.938	0.334	0.995	0.686
0.637	0.673	0.694	0.913	0.273	0.959	0.532
0.610	0.656	0.673	0.917	0.298	0.980	0.555
0.573	0.573	0.621	0.923	0.330	0.994	0.663
0.469	0.367	0.417	0.897	0.332	0.990	0.645
0.581	0.692	0.647	0.857	0.145	0.947	0.314
0.612	0.623	0.650	0.911	0.288	0.972	0.535
0.461	0.531	0.540	0.833	0.107	0.935	0.158
