File_Number,Tube_Number,Subject_Number
1,1,1
2,2,1
3,3,1
4,4,1
5,5,1
6,6,1
7,7,1
8,8,1
9,1,2
10,2,2
11,3,2
12,4,2
13,5,2
14,6,2
15,7,2
16,8,2
17,1,3
18,2,3
19,3,3
20,4,3
21,5,3
22,6,3
23,7,3
24,8,3
25,1,4
26,2,4
27,3,4
28,4,4
29,5,4
30,6,4
31,7,4
32,8,4
33,1,5
34,2,5
35,3,5
36,4,5
37,5,5
38,6,5
39,7,5
40,8,5
41,1,6
42,2,6
43,3,6
44,4,6
45,5,6
46,6,6
47,7,6
48,8,6
49,1,7
50,2,7
51,3,7
52,4,7
53,5,7
54,6,7
55,7,7
56,8,7
57,1,8
58,2,8
59,3,8
60,4,8
61,5,8
62,6,8
63,7,8
64,8,8
65,1,9
66,2,9
67,3,9
68,4,9
69,5,9
70,6,9
71,7,9
72,8,9
73,1,10
74,2,10
75,3,10
76,4,10
77,5,10
78,6,10
79,7,10
80,8,10
81,1,11
82,2,11
83,3,11
84,4,11
85,5,11
86,6,11
87,7,11
88,8,11
89,1,12
90,2,12
91,3,12
92,4,12
93,5,12
94,6,12
95,7,12
96,8,12
97,1,13
98,2,13
99,3,13
100,4,13
101,5,13
102,6,13
103,7,13
104,8,13
105,1,14
106,2,14
107,3,14
108,4,14
109,5,14
110,6,14
111,7,14
112,8,14
113,1,15
114,2,15
115,3,15
116,4,15
117,5,15
118,6,15
119,7,15
120,8,15
121,1,16
122,2,16
123,3,16
124,4,16
125,5,16
126,6,16
127,7,16
128,8,16
129,1,17
130,2,17
131,3,17
132,4,17
133,5,17
134,6,17
135,7,17
136,8,17
137,1,18
138,2,18
139,3,18
140,4,18
141,5,18
142,6,18
143,7,18
144,8,18
145,1,19
146,2,19
147,3,19
148,4,19
149,5,19
150,6,19
151,7,19
152,8,19
153,1,20
154,2,20
155,3,20
156,4,20
157,5,20
158,6,20
159,7,20
160,8,20
161,1,21
162,2,21
163,3,21
164,4,21
165,5,21
166,6,21
167,7,21
168,8,21
169,1,22
170,2,22
171,3,22
172,4,22
173,5,22
174,6,22
175,7,22
176,8,22
177,1,23
178,2,23
179,3,23
180,4,23
181,5,23
182,6,23
183,7,23
184,8,23
185,1,24
186,2,24
187,3,24
188,4,24
189,5,24
190,6,24
191,7,24
192,8,24
193,1,25
194,2,25
195,3,25
196,4,25
197,5,25
198,6,25
199,7,25
200,8,25
201,1,26
202,2,26
203,3,26
204,4,26
205,5,26
206,6,26
207,7,26
208,8,26
209,1,27
210,2,27
211,3,27
212,4,27
213,5,27
214,6,27
215,7,27
216,8,27
217,1,28
218,2,28
219,3,28
220,4,28
221,5,28
222,6,28
223,7,28
224,8,28
225,1,29
226,2,29
227,3,29
228,4,29
229,5,29
230,6,29
231,7,29
232,8,29
233,1,30
234,2,30
235,3,30
236,4,30
237,5,30
238,6,30
239,7,30
240,8,30
241,1,31
242,2,31
243,3,31
244,4,31
245,5,31
246,6,31
247,7,31
248,8,31
249,1,32
250,2,32
251,3,32
252,4,32
253,5,32
254,6,32
255,7,32
256,8,32
257,1,33
258,2,33
259,3,33
260,4,33
261,5,33
262,6,33
263,7,33
264,8,33
265,1,34
266,2,34
267,3,34
268,4,34
269,5,34
270,6,34
271,7,34
272,8,34
273,1,35
274,2,35
275,3,35
276,4,35
277,5,35
278,6,35
279,7,35
280,8,35
281,1,36
282,2,36
283,3,36
284,4,36
285,5,36
286,6,36
287,7,36
288,8,36
289,1,37
290,2,37
291,3,37
292,4,37
293,5,37
294,6,37
295,7,37
296,8,37
297,1,38
298,2,38
299,3,38
300,4,38
301,5,38
302,6,38
303,7,38
304,8,38
305,1,39
306,2,39
307,3,39
308,4,39
309,5,39
310,6,39
311,7,39
312,8,39
313,1,40
314,2,40
315,3,40
316,4,40
317,5,40
318,6,40
319,7,40
320,8,40
321,1,41
322,2,41
323,3,41
324,4,41
325,5,41
326,6,41
327,7,41
328,8,41
329,1,42
330,2,42
331,3,42
332,4,42
333,5,42
334,6,42
335,7,42
336,8,42
337,1,43
338,2,43
339,3,43
340,4,43
341,5,43
342,6,43
343,7,43
344,8,43
345,1,44
346,2,44
347,3,44
348,4,44
349,5,44
350,6,44
351,7,44
352,8,44
353,1,45
354,2,45
355,3,45
356,4,45
357,5,45
358,6,45
359,7,45
360,8,45
361,1,46
362,2,46
363,3,46
364,4,46
365,5,46
366,6,46
367,7,46
368,8,46
369,1,47
370,2,47
371,3,47
372,4,47
373,5,47
374,6,47
375,7,47
376,8,47
377,1,48
378,2,48
379,3,48
380,4,48
381,5,48
382,6,48
383,7,48
384,8,48
385,1,49
386,2,49
387,3,49
388,4,49
389,5,49
390,6,49
391,7,49
392,8,49
393,1,50
394,2,50
395,3,50
396,4,50
397,5,50
398,6,50
399,7,50
400,8,50
401,1,51
402,2,51
