Time	p3	p5	p7
0	PREDICT	PREDICT	PREDICT
0.5	PREDICT	PREDICT	PREDICT
1	PREDICT	PREDICT	PREDICT
1.5	PREDICT	PREDICT	PREDICT
2	PREDICT	PREDICT	PREDICT
2.5	PREDICT	PREDICT	PREDICT
3	PREDICT	PREDICT	PREDICT
3.5	PREDICT	PREDICT	PREDICT
4	PREDICT	PREDICT	PREDICT
4.5	PREDICT	PREDICT	PREDICT
5	PREDICT	PREDICT	PREDICT
5.5	PREDICT	PREDICT	PREDICT
6	PREDICT	PREDICT	PREDICT
6.5	PREDICT	PREDICT	PREDICT
7	PREDICT	PREDICT	PREDICT
7.5	PREDICT	PREDICT	PREDICT
8	PREDICT	PREDICT	PREDICT
8.5	PREDICT	PREDICT	PREDICT
9	PREDICT	PREDICT	PREDICT
9.5	PREDICT	PREDICT	PREDICT
10	PREDICT	PREDICT	PREDICT
10.5	PREDICT	PREDICT	PREDICT
11	PREDICT	PREDICT	PREDICT
11.5	PREDICT	PREDICT	PREDICT
12	PREDICT	PREDICT	PREDICT
12.5	PREDICT	PREDICT	PREDICT
13	PREDICT	PREDICT	PREDICT
13.5	PREDICT	PREDICT	PREDICT
14	PREDICT	PREDICT	PREDICT
14.5	PREDICT	PREDICT	PREDICT
15	PREDICT	PREDICT	PREDICT
15.5	PREDICT	PREDICT	PREDICT
16	PREDICT	PREDICT	PREDICT
16.5	PREDICT	PREDICT	PREDICT
17	PREDICT	PREDICT	PREDICT
17.5	PREDICT	PREDICT	PREDICT
18	PREDICT	PREDICT	PREDICT
18.5	PREDICT	PREDICT	PREDICT
19	PREDICT	PREDICT	PREDICT
19.5	PREDICT	PREDICT	PREDICT
20	PREDICT	PREDICT	PREDICT
