Time	pp1_mrna	pp2_mrna	pp3_mrna	pp4_mrna	pp5_mrna	pp6_mrna	pp7_mrna
0.0	0.0	0.0	0.044	0.0	0.0	0.114	0.0
2.0	1.001	1.746	1.25	2.59	1.864	0.432	0.227
4.0	1.388	2.394	2.884	0.599	1.19	0.263	0.548
6.0	1.748	4.112	2.791	0.158	1.332	0.157	3.454
8.0	1.158	4.349	3.526	0.084	1.606	0.813	0.782
10.0	1.168	2.713	3.575	0.127	1.337	2.224	0.131
12.0	1.01	2.435	4.136	0.064	1.23	5.829	0.0
14.0	1.077	3.549	3.898	0.0	0.756	4.059	0.118
16.0	1.059	3.808	3.396	0.0	1.246	4.42	0.203
18.0	1.381	3.257	3.647	0.229	1.613	4.744	0.013
20.0	1.316	2.586	4.046	0.039	1.282	3.96	0.0
