Time	pp1_mrna	pp2_mrna	pp3_mrna	pp4_mrna	pp5_mrna	pp6_mrna	pp7_mrna	pp8_mrna	pp9_mrna
0.0	0.072	0.0	0.127	0.074	0.011	0.0	0.0	0.08	0.0
2.0	1.539	1.182	4.501	3.089	3.528	0.958	0.847	1.731	2.0
4.0	2.015	0.0	0.814	0.827	4.872	2.633	2.774	0.344	0.706
6.0	2.053	0.0	2.729	2.704	4.884	2.301	3.168	0.137	0.0
8.0	1.515	0.0	3.676	4.806	4.538	1.56	2.636	0.112	0.175
10.0	1.926	0.104	5.316	4.171	3.75	3.288	2.419	0.0	0.088
12.0	1.746	0.01	3.868	3.813	5.486	2.239	3.216	0.008	0.0
14.0	2.013	0.001	3.35	4.054	6.75	2.68	3.009	0.145	0.101
16.0	2.25	0.039	4.687	2.9	6.002	2.931	2.157	0.0	0.17
18.0	1.308	0.0	4.656	3.954	5.427	2.131	2.767	0.079	0.053
20.0	1.631	0.088	4.691	3.98	5.24	2.427	2.811	0.09	0.094
