#Time	p2	p4	p6
0	1	1	1
0.5	2.36401	0.675082	0.697989
1	6.26119	0.489282	0.556849
1.5	12.2589	0.52171	0.582452
2	18.9411	0.790384	0.702599
2.5	25.164	1.19632	0.786305
3	30.391	1.57905	0.780058
3.5	34.5335	1.93113	0.703465
4	37.7345	2.42587	0.596876
4.5	40.1875	3.32428	0.487072
5	42.0821	5.2111	0.385961
5.5	43.5713	9.11139	0.29804
6	44.7651	15.9186	0.224802
6.5	45.736	25.193	0.166228
7	46.529	35.3726	0.120984
7.5	47.1808	45.0929	0.0869516
8	47.7155	53.5146	0.0618663
8.5	48.1522	60.3591	0.0436622
9	48.5034	65.6845	0.0306129
9.5	48.7845	69.705	0.0213491
10	49.0086	72.6745	0.0148243
10.5	49.1859	74.8318	0.0102583
11	49.325	76.3791	0.00708018
11.5	49.4333	77.4776	0.00487821
12	49.5169	78.2512	0.00335842
12.5	49.5807	78.7924	0.00231293
13	49.6294	79.1688	0.00159572
13.5	49.6661	79.4295	0.00110493
14	49.6935	79.6092	0.000769799
14.5	49.7139	79.7328	0.000541383
15	49.729	79.8175	0.000385951
15.5	49.7401	79.8753	0.000280339
16	49.7482	79.9148	0.000208668
16.5	49.7542	79.9417	0.000160082
17	49.7584	79.96	0.000127178
17.5	49.7616	79.9724	0.000104913
18	49.7638	79.9808	8.99E-05
18.5	49.7654	79.9865	7.97E-05
19	49.7666	79.9903	7.28E-05
19.5	49.7674	79.9929	6.82E-05
20	49.768	79.9947	6.51E-05
