Time	p3	p5	p7
0	1	1	1
0.5	0.702612	3.37556	0.716618
1	0.612848	8.09253	0.587126
1.5	0.672505	11.0331	0.475144
2	0.884113	10.9968	0.369479
2.5	1.25386	9.60205	0.280955
3	1.78783	7.93885	0.21546
3.5	2.47287	6.60655	0.179653
4	3.29625	6.05376	0.204697
4.5	4.16749	6.24781	0.351561
5	5.04613	6.82276	0.897475
5.5	5.87084	7.24454	2.09268
6	6.60767	7.30575	3.96871
6.5	7.2378	7.12735	6.17059
7	7.76615	6.90853	8.35221
7.5	8.19539	6.77242	10.2537
8	8.53984	6.7764	11.7687
8.5	8.81159	6.86479	12.8398
9	9.02309	6.9524	13.307
9.5	9.18586	6.98678	12.8579
10	9.30992	6.96775	11.4238
10.5	9.40364	6.92587	9.4188
11	9.47416	6.89627	7.34048
11.5	9.52673	6.89011	5.50177
12	9.56574	6.90259	4.00954
12.5	9.59452	6.91861	2.86188
13	9.61563	6.92725	2.01045
13.5	9.63101	6.92671	1.39476
14	9.64219	6.92083	0.957903
14.5	9.65027	6.91496	0.652453
15	9.65609	6.91256	0.441349
15.5	9.66027	6.91384	0.296817
16	9.66326	6.91668	0.19863
16.5	9.6654	6.91879	0.13236
17	9.66692	6.91918	0.0878789
17.5	9.668	6.91829	0.0581646
18	9.66876	6.91717	0.038396
18.5	9.6693	6.91647	0.0252916
19	9.66968	6.91646	0.0166319
19.5	9.66995	6.91693	0.0109246
20	9.67013	6.91748	0.00717034
