Time	p4	p8	p9
0	0	0	0
0.5	1.08133	0	0
1	3.40545	0	0
1.5	6.06867	0	0
2	8.56832	1.75352	3.3228
2.5	10.6997	3.89683	6.18741
3	12.4126	4.57092	6.15423
3.5	13.7344	4.49152	5.28743
4	14.7171	4.06311	4.30251
4.5	15.4302	3.50713	3.42182
5	15.9358	2.93928	2.69501
5.5	16.2859	2.41526	2.11552
6	16.5228	1.95756	1.66193
6.5	16.68	1.57105	1.31157
7	16.7818	1.25184	1.04617
7.5	16.8457	0.99227	0.853443
8	16.8845	0.78355	0.724448
8.5	16.9069	0.617186	0.661695
9	16.919	0.485555	0.669125
9.5	16.9248	0.382169	0.760857
10	16.927	0.301847	0.982504
10.5	16.9272	0.240423	1.36788
11	16.9264	0.194778	1.96292
11.5	16.9253	0.163097	2.86124
12	16.924	0.144182	4.09646
12.5	16.9229	0.135915	5.53578
13	16.9219	0.136317	7.07353
13.5	16.9211	0.141649	8.48605
14	16.9205	0.148237	9.61464
14.5	16.92	0.153469	10.3937
15	16.9197	0.156594	10.8811
15.5	16.9195	0.157628	11.1465
16	16.9193	0.157187	11.2771
16.5	16.9192	0.156024	11.3461
17	16.9191	0.154729	11.398
17.5	16.919	0.15371	11.458
18	16.919	0.153085	11.5272
18.5	16.919	0.152852	11.6027
19	16.919	0.152905	11.6762
19.5	16.919	0.153111	11.7405
20	16.919	0.15335	11.7913
