Time	p3	p5	p8
0	1	1	1
0.5	3.5201	2.0079	2.7989
1	7.7857	4.5191	7.3972
1.5	11.0473	7.8532	13.2912
2	13.0487	11.5973	18.7597
2.5	14.1026	15.5054	22.7195
3	14.5214	19.4323	25.0767
3.5	14.5346	23.2939	26.1871
4	14.2972	27.0432	26.4418
4.5	13.9102	30.655	26.1462
5	13.4382	34.1176	25.5128
5.5	12.9224	37.4271	24.6825
6	12.3883	40.5841	23.7464
6.5	11.852	43.5921	22.762
7	11.3231	46.4559	21.7653
7.5	10.8076	49.181	20.7784
8	10.3087	51.7734	19.8145
8.5	9.8284	54.2391	18.8813
9	9.3674	56.5839	17.9829
9.5	8.9259	58.8135	17.1211
10	8.5038	60.9336	16.2967
10.5	8.1007	62.9494	15.5092
11	7.716	64.8661	14.7579
11.5	7.349	66.6884	14.0417
12	6.9992	68.4211	13.3594
12.5	6.6659	70.0684	12.7095
13	6.3483	71.6347	12.0909
13.5	6.0457	73.1239	11.502
14	5.7576	74.5397	10.9415
14.5	5.4832	75.8859	10.4082
15	5.2219	77.1658	9.9008
15.5	4.9731	78.3827	9.418
16	4.7363	79.5396	8.9587
16.5	4.5109	80.6396	8.5218
17	4.2963	81.6855	8.1061
17.5	4.0921	82.6798	7.7108
18	3.8977	83.6253	7.3347
18.5	3.7127	84.5241	6.977
19	3.5366	85.3787	6.6368
19.5	3.3691	86.1912	6.3132
20	3.2096	86.9637	6.0054
