CellLine	Drug1	Drug2	Drug3	Drug4	Drug5	Drug6	Drug7	Drug8	Drug9	Drug10	Drug11	Drug12	Drug13	Drug14	Drug15	Drug16	Drug17	Drug18	Drug19	Drug20	Drug21	Drug22	Drug23	Drug24	Drug25	Drug26	Drug27	Drug28	Drug29	Drug30	Drug31
HCC1954	4.833	5.032	3.777	NA	6.223	NA	4.176	7.196	4.478	NA	4.478	NA	NA	5.143	5.767	5.045	6.818	NA	NA	5.014	3.699	4.951	4.804	2.724	NA	5.478	NA	4.523	2.52	6.351	6.169
AU565	5.255	5.256	4.378	NA	6.164	NA	6.836	7.381	4.478	NA	4.478	4.478	4.478	5.143	5.583	4.717	6.959	3.845	7.055	4.478	3.699	5.332	4.478	2.724	4.883	5.478	4.478	4.176	2.851	6.567	6.336
HCC1937	5.012	4.996	4.461	NA	6.164	NA	6.889	6.721	4	6.101	4.478	NA	4.478	NA	5.592	4.688	4.896	3.561	6.821	5.146	3.699	5.198	4.478	2.724	NA	5.478	NA	3.876	2.564	6.959	6.439
CAMA1	4.717	4.851	4.394	6.983	6.164	4.903	4.851	6.947	4	8.152	4.478	NA	NA	5.143	5.567	4.712	6.325	2.697	6.695	5.371	3.699	5.301	4.176	2.724	NA	5.478	NA	3.876	2.791	6.554	6.353
T47DKBLUC	5.166	5.186	4.004	7.277	NA	NA	6.996	7.013	4	5.004	4.176	NA	NA	NA	5.379	4.674	4.58	2.821	6.767	4.478	3.699	NA	4.478	2.724	NA	5.478	NA	3.876	2.762	6.496	6.012
UACC812	5.102	4.975	4.194	7.106	6.164	NA	7.034	6.64	4.562	7.491	4.478	NA	NA	6.002	5.09	4.983	4.903	2.848	6.717	4.478	3.699	5.189	4.176	2.724	NA	5.478	NA	3.876	2.593	6.47	5.979
HCC1569	4.491	4.577	4.329	7.388	6.164	NA	4.176	6.489	4	5.145	4.176	NA	NA	5.143	5.484	4.752	5.314	2.979	6.68	4.478	3.699	5.282	4.478	2.724	NA	5.478	NA	4.327	2.768	6.607	6.342
MCF12A	5.1	5.243	4.78	7.444	6.164	4.893	4.967	7.254	4	4.87	4.176	4.478	4.478	5.143	5.394	4.374	5.742	3.294	7.315	4.644	3.699	5.218	4.987	2.724	4.478	5.478	4.478	4.364	2.743	7.315	7.003
HCC1187	NA	NA	4.939	NA	6.164	NA	6.485	NA	4.701	NA	4.478	NA	NA	NA	5.252	4.599	5.403	5.373	7.102	4.854	3.762	5.184	4.176	2.724	NA	5.478	NA	4.417	2.777	NA	NA
HCC38	6.432	6.18	4.52	6.879	6.164	4.866	5.959	8.234	4.235	6.246	4.478	4.478	NA	5.143	5.451	4.452	6.479	NA	6.597	4.777	4.03	5.535	4.478	2.724	7.13	5.478	4.478	3.951	3.052	6.526	6.265
SUM229PE	4.532	4.699	4.079	7.4	6.164	4.87	4.503	6.674	4.478	4.752	4.478	NA	NA	NA	5.996	5.272	5.684	3.328	6.983	4.836	3.699	5.131	6.25	2.724	NA	5.478	NA	4.573	2.652	6.599	6.4
ZR751	5.14	5.26	4.384	7.379	6.164	4.863	NA	7.11	5.23	7.547	4.176	4.478	4.478	NA	5.289	4.558	6.623	NA	6.256	4.939	3.699	5.21	4.268	2.724	7.275	5.478	4.478	4.002	2.779	6.213	5.646
BT483	NA	NA	4.439	7.879	6.164	NA	4.178	NA	4.451	5.547	4.478	NA	NA	5.143	NA	3.818	5.666	NA	6.812	5.006	4.073	5.237	4.176	2.724	NA	5.478	NA	3.876	3.013	NA	NA
T47D	5.307	5.356	4.524	NA	6.164	NA	7.011	7.269	4.478	5.921	4.478	NA	NA	NA	5.551	4.788	5.658	2.996	6.967	4.876	3.699	5.181	4.478	2.724	NA	5.478	NA	4.176	2.53	6.533	6.232
ZR7530	3.777	3.777	NA	NA	NA	NA	7.046	9.833	NA	NA	NA	NA	NA	NA	NA	NA	6.351	NA	NA	5.738	NA	NA	NA	NA	NA	5.478	NA	NA	NA	NA	NA
BT549	NA	NA	4.638	NA	6.164	NA	6.893	NA	4	6.879	4.176	4.478	4.478	5.143	5.4	4.451	6.305	4.169	7.038	4.987	3.699	5.664	4.478	2.724	4.478	5.478	4.478	3.876	2.572	6.921	6.467
MDAMB231	4.932	5.208	4.747	6.947	6.164	5.292	5.851	7.38	NA	4.267	4.176	4.478	NA	5.143	5.439	4.815	6.461	3.031	6.593	4.907	3.699	5.166	4.478	2.724	4.478	5.478	4.478	3.876	2.16	NA	5.947
MDAMB453	5.407	5.411	3.801	7.07	6.164	5.757	6.839	6.848	4	7.588	4.176	NA	4.478	6.854	5.551	4.947	6.747	2.987	6.408	5.203	3.699	5.312	4.478	2.724	NA	5.478	NA	3.876	3.147	6.672	6.258
MCF10F	4.498	4.438	3.777	NA	6.164	NA	4.176	6.435	4.093	6.003	4.478	NA	NA	5.213	5.37	4.714	5.451	3.604	7.135	4.987	3.699	5.035	4.478	2.724	NA	5.478	NA	3.876	2.423	7.138	6.64
MDAMB157	5.326	5.218	4.276	7.288	6.164	5.777	7.22	7.242	4	4.625	4.176	4.478	4.478	NA	5.742	4.762	6.3	3.327	6.764	5.085	3.699	5.228	NA	2.724	4.932	5.478	4.478	3.876	2.676	6.839	6.333
HCC1428	5.079	5.014	4.41	NA	6.164	NA	4.967	6.263	4.564	5.057	4.478	4.478	NA	5.143	5.402	4.799	4.176	2.86	6.463	5.165	3.699	5.295	4.176	2.724	7.231	5.478	4.478	4.087	3.134	6.507	6.207
MDAMB134VI	3.971	3.971	4.067	6.421	6.164	4.863	5.876	6.398	4	7.265	4.478	NA	NA	5.143	5.26	4.471	NA	2.597	6.635	5.057	3.699	5.234	4.478	2.724	NA	5.478	NA	3.876	3.116	NA	NA
BT20	4.329	4.471	4.053	NA	6.164	NA	7.301	6.48	4.553	NA	4.478	4.478	NA	5.143	5.424	4.886	6.19	NA	6.373	5.16	4.213	5.433	4.176	2.724	4.478	5.478	5.243	3.876	2.444	7.277	6.517
HCC1419	NA	NA	4.087	6.426	6.164	5.175	4.176	NA	4.879	8.401	4.176	4.478	6.144	5.593	5.36	4.745	4.721	2.517	6.804	5.656	3.699	5.356	4.478	2.724	8.231	5.478	4.478	4.305	2.928	NA	NA
MDAMB361	NA	NA	3.777	6.686	6.164	4.903	6.559	NA	4.668	8.352	4.176	4.478	4.478	NA	5.242	4.567	6.236	2.883	6.618	4.971	3.699	5.009	4.176	2.724	4.478	5.478	4.478	3.876	2.821	NA	7.428
HCC202	4.78	4.951	4.406	NA	6.164	NA	4.836	6.539	NA	NA	NA	NA	NA	8.87	5.096	5.807	6.684	NA	NA	5.345	NA	NA	NA	2.724	NA	5.478	NA	NA	NA	6.971	6.68
