DrugAnonID,Drug1,Drug2,Drug3,Drug4,Drug5,Drug6,Drug7,Drug8,Drug9,Drug10,Drug11,Drug12,Drug13,Drug14,Drug15,Drug16,Drug17,Drug18,Drug19,Drug20,Drug21,Drug22,Drug23,Drug24,Drug25,Drug26,Drug27,Drug28,Drug29,Drug30,Drug31
21NT,36,38,34,26,37,31,26,22,37,28,36,36,36,26,27,32,39,24,23,39,12,23,10,5,26,4,14,19,24,25,34
HCC3153,14,13,15,27,40,16,27,25,31,38,25,37,37,22,13,26,29,14,31,30,11,13,20,24,34,23,16,25,39,15,16
SUM225CWN,32,34,38,13,49,22,34,9,14,19,28,38,38,8,26,21,24,30,17,15,17,22,14,45,14,45,8,15,17,28,23
SUM149PT,18,16,20,17,46,11,28,17,27,36,30,39,39,27,16,19,22,11,20,29,18,19,11,42,28,42,6,17,35,14,20
ZR75B,20,19,23,16,53,44,37,33,9,14,32,40,40,28,24,35,30,34,43,25,19,29,24,53,9,53,45,26,31,42,44
SUM1315MO2,16,14,18,34,45,8,16,16,39,31,35,41,41,31,19,41,26,13,24,28,4,8,33,41,41,41,21,29,37,18,27
184B5,34,36,35,23,35,24,21,24,34,30,38,42,42,21,22,25,37,25,29,31,15,30,13,3,33,2,11,24,25,32,33
184A1,39,40,32,25,34,25,23,21,36,33,39,43,43,23,23,23,38,23,30,33,14,27,15,2,30,1,15,22,28,29,35
SUM159PT,24,23,12,40,47,15,29,15,38,40,31,44,44,33,14,42,27,10,14,27,22,18,7,43,43,43,34,20,45,10,14
MCF10A,33,29,19,11,42,27,38,27,41,42,27,45,45,35,20,40,35,8,10,41,24,40,5,29,44,28,35,14,44,8,9
LY2,22,24,30,47,41,40,36,41,16,20,19,46,46,16,37,18,28,37,45,38,7,28,40,28,15,27,36,33,29,16,36
HCC2185,23,27,28,35,39,12,19,26,15,13,29,47,47,18,35,20,31,9,18,23,6,26,44,23,18,22,12,13,19,31,21
600MPE,38,39,37,30,38,26,25,30,35,25,33,48,48,25,25,24,36,28,28,32,16,31,12,6,32,5,9,18,27,34,37
SUM52PE,21,25,36,37,50,19,22,19,13,15,22,49,49,10,33,11,23,31,38,17,8,17,36,47,16,47,26,31,16,30,39
SKBR3,13,12,22,15,44,10,15,7,24,22,23,50,50,17,15,10,14,12,11,45,30,16,9,40,36,40,20,9,15,24,26
MX1,29,28,27,22,43,41,30,18,29,35,34,51,51,20,18,22,34,33,32,42,21,24,6,39,19,39,27,16,32,33,28
21MT1,41,41,31,20,36,34,24,23,33,29,37,52,52,24,28,33,40,27,21,34,13,21,16,4,29,3,17,23,30,27,30
SUM185PE,30,31,39,31,48,33,18,38,28,16,24,53,53,14,41,31,32,22,22,19,5,37,23,44,37,44,18,27,22,23,18
HCC1954,40,17,53,29,1,20,51,12,22,34,3,18,16,49,4,4,2,21,19,16,38,53,4,21,39,20,5,1,47,50,46
AU565,5,6,17,18,2,21,10,3,23,21,2,2,2,48,7,29,1,4,6,51,36,7,35,7,46,6,53,8,12,35,13
HCC1937,15,22,9,32,15,36,11,46,51,24,15,19,3,36,6,36,52,7,13,9,51,42,31,20,40,19,4,46,46,6,8
CAMA1,45,43,14,45,7,49,42,32,52,2,9,20,17,52,10,34,15,52,36,4,46,12,52,12,10,11,29,44,18,38,11
T47DKBLUC,6,10,47,8,51,30,7,14,53,48,21,21,18,6,39,37,50,49,16,52,47,46,32,49,24,49,30,45,21,44,48
UACC812,9,21,40,21,32,42,1,47,10,8,4,22,19,3,53,7,51,48,34,53,45,44,51,50,13,50,39,48,41,47,49
HCC1569,50,49,24,5,13,28,48,50,47,44,44,23,20,45,21,30,48,38,39,49,33,15,43,18,21,17,7,6,20,21,15
MCF12A,10,8,2,2,21,51,41,11,48,50,45,3,4,46,38,51,44,19,1,48,31,38,2,31,49,30,47,5,33,1,2
HCC1187,27,30,1,12,9,23,14,29,3,32,11,24,21,19,48,43,47,1,4,43,9,43,47,14,31,13,22,4,26,20,29
