Time	v1_mrna	v2_mrna	v3_mrna	v4_mrna	v5_mrna	v6_mrna	v7_mrna	v8_mrna	v9_mrna
0.0	0.024	0.032	0.0	0.0	0.096	0.123	0.0	0.215	0.0
6.0	0.0	0.0	0.635	1.508	1.444	1.19	1.059	0.211	0.066
12.0	0.116	0.0	0.261	1.297	0.624	1.544	1.319	0.0	0.277
18.0	0.103	0.205	0.147	1.612	1.146	0.704	1.008	0.0	0.192
24.0	0.0	0.0	0.0	1.923	1.319	1.048	0.628	0.0	0.027
30.0	0.0	0.0	0.017	1.309	1.219	0.844	0.594	0.044	0.0
36.0	0.006	0.139	0.109	1.529	0.808	0.918	0.736	0.216	0.0
42.0	0.042	0.047	0.135	1.735	1.149	1.002	0.613	0.025	0.117
48.0	0.094	0.0	0.252	1.423	0.644	0.961	1.179	0.112	0.0
54.0	0.042	0.0	0.192	1.382	0.0	0.837	1.015	0.0	0.316
60.0	0.0	0.0	1.042	0.542	0.175	0.583	1.021	0.063	0.0
66.0	0.0	0.0	3.196	1.724	0.0	1.202	0.633	0.144	0.181
72.0	0.0	0.169	3.559	1.398	0.058	1.042	0.605	0.119	0.138
78.0	0.0	0.0	3.42	1.334	0.0	0.971	0.642	0.0	0.125
84.0	0.169	0.069	3.909	1.173	0.158	1.134	0.527	0.0	0.02
90.0	0.235	0.004	5.121	1.571	0.051	1.336	0.827	0.09	0.131
96.0	0.0	0.0	5.76	1.184	0.0	1.046	0.875	0.15	0.326
100.0	0.0	0.0	4.577	1.328	0.16	0.915	0.825	0.136	0.0
