TR:inSilico:CellLine,TR:INH1:Inhibitors,TR:INH2:Inhibitors,TR:INH3:Inhibitors,TR:loLIG1:Stimuli,TR:hiLIG1:Stimuli,TR:loLIG2:Stimuli,TR:hiLIG2:Stimuli,DA:ALL,DV:AB1,DV:AB2,DV:AB3,DV:AB4,DV:AB5,DV:AB6,DV:AB7,DV:AB8,DV:AB9,DV:AB10,DV:AB11,DV:AB12,DV:AB13,DV:AB14,DV:AB15,DV:AB16,DV:AB17,DV:AB18,DV:AB19,DV:AB20
1,0,0,0,1,0,0,0,0,532.723468,421.599376,471.312617,484.691807,408.722905,579.765858,437.040706,414.364548,598.667272,510.873496,447.719339,474.030030,560.683907,405.618213,430.107680,465.011710,413.653421,699.476636,527.590135,415.245864
1,0,0,0,1,0,0,0,0,475.183780,433.055637,532.442487,520.933743,441.302436,478.862533,406.216721,413.135615,607.618904,428.817054,422.860842,510.762989,481.198051,503.830249,480.343236,462.918035,519.544492,693.364188,486.658792,485.811792
1,0,0,0,1,0,0,0,0,531.710884,489.372574,497.732667,511.016388,478.893000,530.182096,421.244904,512.023484,639.608880,557.832064,453.893736,510.280165,547.857060,398.700495,448.823100,474.079763,515.065654,855.963829,500.873189,405.798871
1,0,0,0,0,1,0,0,0,493.708834,496.793125,525.772462,464.011738,485.921074,480.378789,451.997339,484.831056,537.977441,516.299337,478.471675,438.539344,548.214604,524.395632,531.665623,445.330439,453.378592,764.784195,458.036779,522.511555
1,0,0,0,0,1,0,0,0,487.657435,424.585906,474.550359,399.798444,438.085521,439.937112,467.173468,494.404501,534.262980,446.229138,458.179400,419.625512,551.636178,496.751276,547.427287,422.397154,446.365148,806.844180,462.507434,496.813814
1,0,0,0,0,1,0,0,0,408.142529,431.156365,406.187223,460.670808,468.175353,458.120533,450.810289,417.377247,516.645788,451.327641,487.193802,477.148002,570.308908,384.738171,442.050841,522.479995,417.674166,872.560682,455.215212,492.181249
1,1,0,0,1,0,0,0,0,471.737595,600.892072,433.966916,451.129220,447.815229,422.771912,474.046736,482.925016,521.179575,502.964596,477.042894,478.780932,542.472701,419.838740,482.984303,463.862048,515.402262,811.590092,440.024491,408.326463
1,1,0,0,1,0,0,0,0,413.291749,483.174003,364.803538,532.230015,430.532580,487.101412,541.743550,438.573536,563.367578,491.069993,402.651628,439.092574,480.298043,458.661998,499.920947,459.773200,524.337439,828.540050,480.552816,415.938998
1,1,0,0,1,0,0,0,0,510.712707,509.284787,468.422549,492.602407,418.656267,495.886923,437.426001,470.584414,532.811800,523.648646,447.683584,459.678214,497.294517,417.463519,400.076735,536.402022,485.359596,821.879126,423.017299,470.709253
1,1,0,0,0,1,0,0,0,466.821393,382.274295,473.587752,526.756166,497.492494,452.194357,460.260362,410.627722,580.403418,390.378386,549.869912,478.600284,503.348319,493.911975,388.708560,532.078631,526.189691,658.509867,476.851145,428.887158
1,1,0,0,0,1,0,0,0,499.692009,436.698669,501.448128,471.469899,475.664542,491.284793,432.425687,503.018669,586.819470,508.119494,480.434005,475.750838,503.640718,566.018821,479.582160,461.961193,491.807272,836.011496,476.995289,476.318733
1,1,0,0,0,1,0,0,0,475.003073,409.949646,474.306168,536.226572,460.228336,429.121556,524.050886,439.801461,590.568599,489.302369,441.593338,386.454923,513.808023,482.438481,421.061753,508.299988,552.777619,844.301536,383.384896,456.465851
1,0,1,0,1,0,0,0,0,411.379720,403.230553,462.253984,431.284296,509.785592,475.830643,530.488714,420.822475,517.257088,413.586142,448.962045,455.904373,637.369791,508.706069,398.124888,418.376801,433.200395,755.224542,483.214660,490.749047
1,0,1,0,1,0,0,0,0,424.940041,456.504604,470.055822,436.241649,476.983720,464.045626,461.548345,449.557201,615.554243,415.020150,513.338780,419.058535,518.117693,552.252109,473.696444,484.041259,487.509084,872.909915,509.061444,460.970158
1,0,1,0,1,0,0,0,0,474.316678,491.572039,511.848704,451.673409,522.648241,458.287533,474.498092,450.945545,503.357853,505.714937,486.256689,418.351600,523.139869,497.729447,472.170509,413.648251,480.129288,849.843985,398.600309,480.783393
1,0,1,0,0,1,0,0,0,447.940959,531.374716,503.143321,512.455508,459.076205,449.110946,468.328243,481.600753,481.668363,500.573453,421.393111,590.983855,519.791306,445.037282,505.279129,440.569668,479.721211,931.663577,481.731720,355.609202
1,0,1,0,0,1,0,0,0,402.492428,541.644612,473.898529,479.513924,450.257612,494.767231,429.561518,474.618745,522.126595,415.440313,502.137226,456.736907,443.406093,482.917794,454.322173,464.470955,471.124620,832.406979,394.081121,409.145509
1,0,1,0,0,1,0,0,0,519.191674,423.558890,452.854159,454.545176,408.185412,504.316652,459.661531,510.447488,469.711573,486.985096,498.499479,467.059220,507.179579,411.911802,442.297229,510.485504,387.974691,787.063994,431.162915,427.022824
1,0,0,1,1,0,0,0,0,471.379627,472.325840,433.853782,439.649361,552.692832,401.397112,401.298095,459.583089,584.729380,525.138689,474.805864,465.606439,563.910975,447.013328,499.703409,446.212325,494.488703,875.847376,419.520216,491.864506
