ID,belief_clin_gen,belief_gen
51759,1,0
40457,1,0
79614,1,0
55321,0,1
186824,1,0
6688,1,1
84724,0,1
196102,0,1
184364,0,1
89279,0,1
19342,1,1
77334,1,0
45926,1,1
139182,1,1
45211,0,0
62442,0,1
164633,0,0
83963,0,1
168068,1,1
22829,1,0
84447,0,0
40761,1,1
104110,1,0
18467,1,0
150090,1,1
192609,1,0
15073,0,1
130218,0,1
177076,0,0
115011,1,1
186612,0,0
64752,1,1
12815,1,1
145054,1,0
24232,0,1
38160,0,1
136054,0,1
47032,1,0
101691,1,0
132756,1,0
65457,1,0
168521,1,1
156571,1,1
96235,0,0
20813,0,0
118898,1,0
176988,1,0
27047,0,1
22025,0,0
9702,1,1
101581,1,0
23116,0,0
150601,0,1
189082,1,0
1003,1,0
93711,1,1
101800,0,0
112313,1,0
186335,0,1
59772,0,0
36526,1,1
120962,1,0
127190,1,0
88587,1,0
105899,0,1
133156,1,1
85822,1,0
137541,0,0
150457,0,0
122224,0,1
30746,1,0
42655,1,0
165743,0,1
21467,1,1
189044,1,0
118250,0,0
180463,1,0
98685,0,1
55698,0,1
73038,1,1
13113,0,1
50349,1,1
149328,1,0
79389,0,1
131224,1,0
159853,1,1
13605,0,1
145560,0,1
183332,0,1
157815,0,0
24101,1,1
115876,0,0
62248,0,0
122885,0,0
24921,1,0
181800,0,0
144615,0,1
4666,0,1
124041,0,0
172469,0,1
42282,1,1
55980,0,0
102093,1,1
20933,1,1
74811,1,1
158421,1,0
48511,0,0
148209,1,0
92796,0,0
39160,0,0
49004,1,1
158767,0,1
178739,0,0
91678,0,1
16434,1,1
99711,0,0
191182,1,1
169885,1,0
97074,1,1
187289,1,1
12446,1,1
144404,1,0
30678,0,1
168418,0,1
151530,0,0
118732,1,0
14845,1,1
175331,0,0
56148,0,1
182325,0,0
117977,0,1
35569,0,1
196452,1,1
23782,1,1
125281,1,0
58165,1,1
97810,0,0
88540,0,0
108944,0,0
44617,0,1
185301,1,1
37874,1,0
184838,1,1
43224,1,1
121935,1,1
1995,0,1
36658,1,1
26656,1,1
80751,1,0
121796,0,0
77554,1,1
84707,0,1
56741,1,0
159419,0,0
98154,1,0
61921,0,1
31826,1,0
4102,0,0
89632,1,1
41162,0,0
193563,0,1
29667,1,0
63904,1,1
182690,1,0
127876,1,0
41533,0,0
166626,1,0
115800,0,1
176021,1,0
156598,0,1
80609,0,1
195794,1,0
182917,0,0
82279,0,1
29743,1,1
62067,1,1
107466,1,0
183788,1,1
172659,0,1
36738,0,1
11110,0,1
176481,1,0
189814,0,0
36069,1,1
169005,0,0
5285,1,0
62532,0,1
73096,1,1
159300,0,0
121454,0,1
35875,0,1
85069,0,0
191156,1,1
38219,1,1
86289,0,1
144740,0,0
19986,1,1
62402,1,0
42942,1,0
115112,1,0
19501,1,1
74731,0,1
60847,1,0
49516,0,1
40913,1,0
55388,1,1
195084,0,1
166695,0,1
94050,1,1
199157,0,0
105070,1,1
141540,1,0
147164,1,1
125000,0,1
8784,0,1
192308,1,0
184097,1,1
83067,1,1
111675,1,1
34171,0,1
41536,1,1
118945,1,1
138161,0,1
21102,0,0
17653,1,1
165576,0,1
140752,0,1
139512,1,1
140075,0,0
116597,0,0
167761,0,1
176737,1,1
63379,1,0
126809,1,0
88193,0,1
113197,1,1
52806,1,1
166827,0,1
66013,1,1
161466,1,0
5062,1,0
111084,0,1
78600,0,0
52680,0,0
192588,1,1
111819,0,0
3719,0,1
142833,1,1
191100,0,1
13610,0,0
194146,0,0
33972,1,0
83773,1,0
4843,1,0
168439,1,1
96607,0,1
47372,1,1
184003,0,1
7967,1,0
156583,1,0
85866,1,1
14264,1,0
22916,0,0
122709,1,0
38775,1,1
111747,1,1
142826,1,0
132766,0,0
149179,0,0
143252,1,1
92701,0,1
73883,1,0
149531,1,0
189800,1,1
13712,0,0
100759,0,0
167871,1,1
153146,0,0
135122,1,0
186416,0,1
32072,1,0
111334,1,0
168950,0,1
107632,1,0
19786,1,1
141645,1,0
87557,1,1
156193,1,1
48101,1,1
170701,1,1
166300,1,0
105882,1,0
46132,0,1
23990,0,1
61589,1,0
153853,1,0
25408,1,1
55151,0,0
42438,0,1
48973,0,0
192920,0,1
136376,1,0
52299,1,1
112928,1,1
124682,1,1
181982,0,1
27517,1,0
24555,1,1
37030,1,1
163940,1,1
174833,0,0
4939,1,0
76537,1,0
72341,1,0
111274,0,1
66785,1,1
50469,0,1
117034,0,0
3303,1,1
127819,0,0
41365,1,1
195429,1,0
5605,0,1
15049,1,0
76493,1,0
190965,0,1
64151,0,1
150129,1,1
35642,0,0
59393,1,0
70067,1,0
114958,1,1
24131,1,1
128762,1,1
130549,1,1
33083,1,0
189889,0,1
125357,0,1
144684,0,1
153970,1,0
127637,0,1
122041,0,1
185300,1,0
111112,1,0
14539,0,0
195541,0,0
52975,1,1
9883,1,1
105708,1,1
176379,1,1
8386,0,1
14373,0,0
147644,0,1
58668,0,1
169603,1,0
126677,0,0
56190,1,0
61587,1,0
141532,0,1
36183,0,1
142587,0,1
96526,1,0
117566,1,1
106106,0,1
161528,1,1
157900,1,0
182419,1,1
79867,0,1
66443,0,0
11427,0,0
111532,1,0
124181,1,0
36770,0,0
17074,0,1
48960,1,0
146363,1,1
184142,0,1
178285,1,1
70112,1,1
89843,1,1
199062,0,0
34076,0,0
34486,1,0
142575,0,1
83120,1,1
50758,1,0
20090,1,0
67589,1,0
85898,1,0
79429,1,1
27214,1,0
182311,1,0
181476,1,0
93087,1,1
76497,1,1
109112,1,1
51383,1,1
45689,0,1
137101,1,0
131442,0,1
59377,1,0
85676,1,0
144336,1,0
19831,0,0
29891,0,1
161430,0,0
